point ,geomorph_zone,potential_dist,TSR ,realTSR,Y-decimal,X-decimal,rad_raster,altitude_m,slope,logslope,aspect ,E,N,plan curvature,plan_num,profile_curv,profile_num,curvature DEM,stoniness_surf,stoniness_soil,veg_type,veg_cover,texture_class,sorting,sand fraction,pH_field,soil_class,SSD
M28 ,none,none,1857,154,46.44947222,9.940694444,1211319,1891,6,0.77815125,68,0.93,0.37,concave,3,concave,3,-0.64,80,15,,10,sand,poor,coarse sand,5.3,humic leptosol,5.1
M40 ,none,none,1850,161,46.45030556,9.941472222,1209226,1898,1,0,344,-0.28,0.96,straight,2,concave,3,0.32,10,15,,90,sand,poor,coarse sand,5,humic leptosol,1.7
M41 ,none,none,1850,161,46.44980556,9.941777778,1212442,1897,15,1.176091259,224,-0.69,-0.72,convex,1,convex,1,0.32,5,0,,95,sand,well,medium sand,4.5,humic leptosol,12
M42 ,none,none,1850,161,46.44972222,9.942,1202613,1894,1,0,11,0.19,0.98,straight,2,straight,2,-0.96,60,20,,40,sand,poor,coarse sand,5,humic leptosol,0.8
M43 ,none,none,1850,161,46.449,9.942416667,1156332,1905,0,0,,,,concave,3,concave,3,-0.64,30,35,,70,sand,poor,coarse sand,5,humic leptosol,1.3
M44 ,none,none,1850,161,46.44863889,9.942388889,1179335,1906,25,1.397940009,298,-0.88,0.47,straight,2,straight,2,-0.32,15,15,,10,sand,poor,coarse sand,6,humic leptosol,0.85
M11 ,fluvial,none,2002.4,8.6,46.42836111,9.93475,1155850,2011,1,0,356,-0.07,1,straight,2,straight,2,-0.48,60,25,,0,sand,poor,coarse sand,7,haplic leptosol,0
M12 ,fluvial,none,2001,10,46.42869444,9.934861111,1099117,2009,1,0,336,-0.41,0.91,straight,2,straight,2,-0.48,50,25,,0,sand,vague layering,coarse sand,7,haplic leptosol,0
M13 ,fluvial,none,2000.2,10.8,46.42911111,9.934555556,1191034,2011,0,0,,,,straight,2,straight,2,-0.32,1,0,,2,loamy sand/sand,layered,coarse/medium,7,haplic fluvisol,0
M1 ,development,debris flow,1872.8,138.2,46.44672222,9.943388889,957930,1934,23,1.361727836,294,-0.91,0.41,convex,1,convex,1,-0.48,20,30,,90,sand,poor,coarse sand,4.5,humic leptosol,17.5
M2 ,development,debris flow,1910,101,46.44255556,9.941694444,1049670,1952,5,0.698970004,344,-0.28,0.96,concave,3,straight,2,0,20,20,,70,sand,poor,coarse sand,4.2,dystric regosol,9.6
M3 ,development,none,2010,1,46.42661111,9.933222222,1047967,2048,0,0,,,,straight,2,straight,2,-0.8,85,50,,0,sand,poor,coarse sand,5.5,skeletic leptosol,0
M4 ,development,none,1993.5,17.5,46.42936111,9.932527778,1120383,2042,6,0.77815125,130,0.77,-0.64,convex,1,straight,2,-0.16,85,40,,15,sand,poor,coarse sand,6.5,skeletic leptosol,0.6
M5 ,development,none,2010,1,46.42586111,9.93425,654754,2062,2,0.301029996,40,0.64,0.77,convex,1,convex,1,0.32,80,40,,0,sand,poor,coarse sand,7.5,skeletic leptosol,0
M6 ,development,none,2010,1,46.42591667,9.934194444,654754,2062,3,0.477121255,345,-0.26,0.97,concave,3,concave,3,0.32,95,45,,0,sand,poor,coarse sand,7.5,skeletic leptosol,0
M7 ,development,none,2007.5,3.5,46.42588889,9.934972222,914996,2054,45,1.653212514,270,-1,0,straight,2,straight,2,0.16,85,35,,0,sand,poor,coarse sand,7.5,haplic leptosol,0
M8 ,development,none,2007.3,3.7,46.42705556,9.932777778,936708,2056,10,1,74,0.96,0.28,convex,1,convex,1,-0.16,95,60,,1,sand,poor,coarse sand,7.2,skeletic leptosol,0
M9 ,development,none,2006.6,4.4,46.42713889,9.93275,936708,2052,30,1.477121255,130,0.77,-0.64,straight,2,concave,3,0.16,80,40,,5,sand,poor,coarse sand,7.2,skeletic leptosol,0
