point ,valley,geomorph_zone,potential_disturbance,soil_age,stoniness_surface,stoniness_soil,veg_type,texture_class,sorting,sand_fraction,pH_field,soil_classification,SSD
F3,F,,,1,80,60,,sand,poor,coarse sand,6.5,skeletic leptosol,0
F1,F,development,,2.5,95,60,,sand,poor,coarse sand,6.5,skeletic leptosol,0
F2,F,development,,2.8,5,50,,sand,layered,medium sand,6.5,haplic fluvisol,0
F4,F,development,,4.3,95,50,,sand,poor,coarse sand,6.5,skeletic leptosol,0
F25,F,fluvial,,30.5,60,40,,sand,better,coarse sand,7,skeletic leptosol,0
F24,F,development,,35.5,70,40,,sand,poor,coarse sand,5.8,humiskeletic leptosol,1.2
F23,F,slope,,38,95,45,,sand,poor,coarse sand,5.5,skeletic leptosol,0
F22,F,development,,41.6,30,10,,sand,poor,coarse sand,5,,0
F20,F,development,,49.8,90,40,,sand,poor,coarse sand,6,skeletic leptosol,0
F19,F,development,,51.1,90,50,,sand,poor,coarse sand,6,skeletic leptosol,0
F18,F,development,,53.6,90,45,,sand,poor,coarse sand,5,humiskeletic leptosol,1.1
F17,F,development,,56.4,85,25,,sand,poor,coarse sand,5,humic leptosol,2.25
F15,F,development,,59.7,40,10,,sand,poor,coarse sand,6.5,humic leptosol,12.6
F14,F,development,,60.5,90,40,,sand,poor,coarse sand,6.5,humiskeletic leptosol,1.8
F16,F,development,,60.6,80,40,,sand,poor,coarse sand,5.5,humiskeletic leptosol,0.6
F13,F,development,,60.7,60,40,,sand,poor,coarse sand,6.5,humiskeletic leptosol,2.4
F12,F,development,,65.7,95,60,,sand,poor,coarse sand,6,humiskeletic leptosol,2
F21,F,development,,66,80,45,,sand,poor,coarse sand,5.5,humiskeletic leptosol,1.1
F11,F,development,debris flow,67.3,40,15,,sand,poor,coarse sand,6,humic leptosol,4.25
F10,F,development,debris flow,70.1,40,40,,sand,poor,coarse sand,6,humiskeletic leptosol,3.6
F9,F,development,debris flow,70.1,98,98,,sand,poor,coarse sand,,,0
F8,F,development,,70.3,60,30,,sand,poor,coarse sand,5,humic leptosol,3.5
F7,F,development,,74.1,10,40,,sand,poor,coarse sand,5.8,humiskeletic leptosol,6
F6,F,development,,79.7,40,20,,sand,poor,coarse sand,5,humic leptosol,2.4
F31,F,fluvial,,81,85,40,,sand,poor,coarse sand,7,humiskeletic leptosol,1.2
F5,F,development,,90.7,60,30,,sand,poor,coarse sand,5,humic leptosol,5.6
F30,F,development,,96.5,40,5,,sand,better,medium sand,7,humic fluvisol,5.7
F28,F,development,debris flow,101.4,50,30,,sand,poor,medium/coarse,7,humic leptosol,0.7
F29,F,development,debris flow,106.3,60,25,,sand,poor,coarse sand,7,humic leptosol,4.5
F27,F,fluvial,,106.5,40,15,,sand,poor,coarse sand,7,humic leptosol,0.85
F26,F,fluvial,,112,10,10,,sand,good,medium sand,7,humic fluvisol,6.3
M3 ,M,development,,1,85,50,,sand,poor,coarse sand,5.5,skeletic leptosol,0
M5 ,M,development,,1,80,40,,sand,poor,coarse sand,7.5,skeletic leptosol,0
M6 ,M,development,,1,95,45,,sand,poor,coarse sand,7.5,skeletic leptosol,0
M7 ,M,development,,3.5,85,35,,sand,poor,coarse sand,7.5,haplic leptosol,0
M8 ,M,development,,3.7,95,60,,sand,poor,coarse sand,7.2,skeletic leptosol,0
M9 ,M,development,,4.4,80,40,,sand,poor,coarse sand,7.2,skeletic leptosol,0
M38 ,M,development,,5,95,60,,sand,poor,coarse sand,7.2,skeletic leptosol,0
M39 ,M,development,,6.7,70,45,,sand,poor,coarse sand,7,skeletic leptosol,0
M11 ,M,fluvial,,8.6,60,25,,sand,poor,coarse sand,7,haplic leptosol,0
M10 ,M,development,,8.8,80,40,,sand,poor,coarse sand,7,skeletic leptosol,0
M12 ,M,fluvial,,10,50,25,,sand,vague layering,coarse sand,7,haplic leptosol,0
M13 ,M,fluvial,,10.8,1,0,,loamy sand/sand,layered,coarse/medium,7,haplic fluvisol,0
M4 ,M,development,,17.5,85,40,,sand,poor,coarse sand,6.5,skeletic leptosol,0.6
M16 ,M,development,,23.7,85,40,,sand,poor,coarse sand,7,skeletic leptosol,0
M14 ,M,development,,25.5,70,25,,sand,poor,coarse sand,6,humic leptosol,0.75
M15 ,M,development,,25.5,15,25,,sand,poor,coarse sand,6,humic leptosol,4.88
M17 ,M,development,,31.9,85,45,,sand,poor,coarse sand,7,skeletic leptosol,0
M18 ,M,development,,36.7,75,20,,sand,poor,coarse sand,5.8,humic leptosol,0.8
M19 ,M,development,,47.8,60,15,,sand,slightly better,medium,5.8,humic leptosol,1.7
M21 ,M,development,,47.8,60,25,,sand,slightly better,medium,6.5,haplic leptosol,0
M20 ,M,development,,50.4,60,25,,sand,slightly better,medium,6.5,haplic leptosol,0
M22 ,M,development,,50.4,60,25,,sand,slightly better,medium,6.5,haplic leptosol,0
M23 ,M,development,,60.9,60,15,,sand,slightly better,medium,5.8,humic leptosol,1.7
M25 ,M,development,,68.3,70,35,,sand,slightly better,medium,5.5,humic leptosol,1.95
M24 ,M,development,,70.2,20,10,,sand,slightly better,medium,5.5,humic leptosol,1.8
M26 ,M,development,,70.2,20,5,,sand,layered,medium/coarse,5.5,humic fluvisol,0.95
M27 ,M,development,,84.7,20,15,,sand,poor,coarse sand,5.5,humic leptosol,3.4
M35 ,M,development,,90,85,35,,sand,poor,coarse sand,5,humic leptosol,0.65
M34 ,M,development,bare rock,94.4,90,50,,sand,poor,coarse sand,5,humiskeletic leptosol,0.5
M36 ,M,development,,95.7,20,40,,sand,poor,coarse sand,5,humiskeletic leptosol,4.8
M37 ,M,development,,95.7,80,50,,sand,poor,coarse sand,5,humiskeletic leptosol,0.5
M33 ,M,development,bare rock,98.3,85,50,,sand,poor,coarse sand,5,humiskeletic leptosol,1.25
M2 ,M,development,debris flow,101,20,20,,sand,poor,coarse sand,4.2,dystric regosol,9.6
M32 ,M,development,bare rock,108.2,80,40,,sand,poor,coarse sand,5,humiskeletic leptosol,1.8
M51 ,M,development,debris flow,109.2,20,5,,sand,poor,coarse sand,5,humic leptosol,1.9
M50 ,M,development,debris flow,110.9,10,10,,sand,poor,coarse sand,5,humic leptosol,0.9
M52 ,M,development,debris flow,110.9,60,50,,sand,poor,coarse sand,5.5,humiskeletic leptosol,1
M31 ,M,development,,112,70,40,,sand,poor,coarse sand,6,humiskeletic leptosol,1.2
M49 ,M,development,debris flow,114,5,2,,sand,poor,coarse sand,5,humic leptosol,4.9
M48 ,M,development,,122.4,40,45,,sand,poor,coarse sand,5,humiskeletic leptosol,1.1
